2023-06-20 09:04:02,029 INFO    StreamThr :6237 [internal.py:wandb_internal():86] W&B internal server running at pid: 6237, started at: 2023-06-20 09:04:02.026405
2023-06-20 09:04:02,035 DEBUG   HandlerThread:6237 [handler.py:handle_request():144] handle_request: status
2023-06-20 09:04:02,842 INFO    WriterThread:6237 [datastore.py:open_for_write():85] open: /content/gdrive/MyDrive/AAU_Project/Goal_Oriented_Federated_Learning/wandb/run-20230620_090401-429plswc/run-429plswc.wandb
2023-06-20 09:04:02,846 DEBUG   SenderThread:6237 [sender.py:send():369] send: header
2023-06-20 09:04:02,897 DEBUG   SenderThread:6237 [sender.py:send():369] send: run
2023-06-20 09:04:03,095 DEBUG   HandlerThread:6237 [handler.py:handle_request():144] handle_request: check_version
2023-06-20 09:04:03,097 INFO    SenderThread:6237 [dir_watcher.py:__init__():211] watching files in: /content/gdrive/MyDrive/AAU_Project/Goal_Oriented_Federated_Learning/wandb/run-20230620_090401-429plswc/files
2023-06-20 09:04:03,098 INFO    SenderThread:6237 [sender.py:_start_run_threads():1100] run started: 429plswc with start time 1687251842.034305
2023-06-20 09:04:03,098 DEBUG   SenderThread:6237 [sender.py:send_request():396] send_request: summary_record
2023-06-20 09:04:03,102 INFO    SenderThread:6237 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-06-20 09:04:03,104 DEBUG   SenderThread:6237 [sender.py:send_request():396] send_request: check_version
2023-06-20 09:04:03,203 DEBUG   HandlerThread:6237 [handler.py:handle_request():144] handle_request: run_start
2023-06-20 09:04:03,220 DEBUG   HandlerThread:6237 [system_info.py:__init__():31] System info init
2023-06-20 09:04:03,225 DEBUG   HandlerThread:6237 [system_info.py:__init__():46] System info init done
2023-06-20 09:04:03,225 INFO    HandlerThread:6237 [system_monitor.py:start():181] Starting system monitor
2023-06-20 09:04:03,225 INFO    SystemMonitor:6237 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-20 09:04:03,225 INFO    HandlerThread:6237 [system_monitor.py:probe():201] Collecting system info
2023-06-20 09:04:03,228 INFO    SystemMonitor:6237 [interfaces.py:start():190] Started cpu monitoring
2023-06-20 09:04:03,229 INFO    SystemMonitor:6237 [interfaces.py:start():190] Started disk monitoring
2023-06-20 09:04:03,230 INFO    SystemMonitor:6237 [interfaces.py:start():190] Started gpu monitoring
2023-06-20 09:04:03,231 INFO    SystemMonitor:6237 [interfaces.py:start():190] Started memory monitoring
2023-06-20 09:04:03,232 INFO    SystemMonitor:6237 [interfaces.py:start():190] Started network monitoring
2023-06-20 09:04:03,232 DEBUG   HandlerThread:6237 [system_info.py:probe():195] Probing system
2023-06-20 09:04:03,247 DEBUG   HandlerThread:6237 [system_info.py:_probe_git():180] Probing git
2023-06-20 09:04:03,308 DEBUG   HandlerThread:6237 [system_info.py:_probe_git():188] Probing git done
2023-06-20 09:04:03,308 DEBUG   HandlerThread:6237 [system_info.py:probe():240] Probing system done
